090106 (22000): 03b231ce-dcf4-46cd-97c2-0a9892df4934: Cannot perform operation. This session does not have a current schema. Call 'USE SCHEMA', or use a qualified name.
  File 'tpcdi-files/load/finwire/FINWIRE1967Q2', line 1, character 50
  Row 255, column "FINWIRE_STG"["PTS":1]
  If you would like to continue loading when an error is encountered, use other values such as 'SKIP_FILE' or 'CONTINUE' for the ON_ERROR option. For more information on loading options, please run 'info loading_data' in a SQL client.
"file","status","rows_parsed","rows_loaded","error_limit","errors_seen","first_error","first_error_line","first_error_character","first_error_column_name"
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q3","LOADED","152","152","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1969Q4","LOADED","197","197","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1971Q2","LOADED","251","251","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1972Q4","LOADED","305","305","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q1","LOADED","350","350","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1975Q4","LOADED","413","413","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1977Q4","LOADED","485","485","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1979Q2","LOADED","539","539","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1982Q4","LOADED","665","665","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1985Q1","LOADED","746","746","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1986Q4","LOADED","809","809","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1988Q3","LOADED","872","872","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1990Q3","LOADED","944","944","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1992Q2","LOADED","1007","1007","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1994Q1","LOADED","1070","1070","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1996Q3","LOADED","1160","1160","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1998Q3","LOADED","1232","1232","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2000Q3","LOADED","1304","1304","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2002Q3","LOADED","1376","1376","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2003Q4","LOADED","1421","1421","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2005Q4","LOADED","1493","1493","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2007Q2","LOADED","1547","1547","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2009Q2","LOADED","1619","1619","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2011Q1","LOADED","1682","1682","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2013Q3","LOADED","1772","1772","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2016Q1","LOADED","1862","1862","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1967Q1","LOADED","76","76","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q1","LOADED","206","206","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1972Q2","LOADED","287","287","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q2","LOADED","359","359","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1975Q3","LOADED","404","404","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1977Q2","LOADED","467","467","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1978Q3","LOADED","512","512","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1980Q1","LOADED","566","566","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1981Q2","LOADED","611","611","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1983Q1","LOADED","674","674","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1984Q4","LOADED","737","737","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1986Q1","LOADED","782","782","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1988Q1","LOADED","854","854","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1990Q1","LOADED","926","926","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1992Q4","LOADED","1025","1025","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1993Q4","LOADED","1061","1061","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1995Q3","LOADED","1124","1124","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2000Q2","LOADED","1295","1295","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2001Q1","LOADED","1322","1322","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2003Q2","LOADED","1403","1403","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2004Q4","LOADED","1457","1457","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2007Q1","LOADED","1538","1538","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2008Q4","LOADED","1601","1601","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2010Q4","LOADED","1673","1673","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2012Q3","LOADED","1736","1736","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2014Q3","LOADED","1808","1808","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2016Q3","LOADED","1880","1880","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q4","LOADED","161","161","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1969Q2","LOADED","179","179","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q4","LOADED","233","233","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1973Q3","LOADED","332","332","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1976Q1","LOADED","422","422","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1977Q3","LOADED","476","476","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1979Q4","LOADED","557","557","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1981Q4","LOADED","629","629","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1983Q3","LOADED","692","692","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1985Q4","LOADED","773","773","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1987Q4","LOADED","845","845","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1989Q4","LOADED","917","917","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1990Q4","LOADED","953","953","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1993Q2","LOADED","1043","1043","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1995Q1","LOADED","1106","1106","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1996Q2","LOADED","1151","1151","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1997Q2","LOADED","1187","1187","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1998Q4","LOADED","1241","1241","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1999Q4","LOADED","1277","1277","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2002Q1","LOADED","1358","1358","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2003Q3","LOADED","1412","1412","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2005Q2","LOADED","1475","1475","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2006Q3","LOADED","1520","1520","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2008Q3","LOADED","1592","1592","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2009Q4","LOADED","1637","1637","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2012Q2","LOADED","1727","1727","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2015Q1","LOADED","1826","1826","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2016Q4","LOADED","1889","1889","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1967Q3","LOADED","116","116","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1969Q1","LOADED","170","170","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1971Q1","LOADED","242","242","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1973Q1","LOADED","314","314","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q4","LOADED","377","377","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1976Q2","LOADED","431","431","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1979Q3","LOADED","548","548","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1980Q3","LOADED","584","584","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1981Q3","LOADED","620","620","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1984Q3","LOADED","728","728","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1985Q3","LOADED","764","764","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1988Q2","LOADED","863","863","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1991Q3","LOADED","980","980","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1994Q4","LOADED","1097","1097","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2009Q1","LOADED","1610","1610","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2011Q2","LOADED","1691","1691","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2012Q4","LOADED","1745","1745","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2014Q2","LOADED","1799","1799","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2016Q2","LOADED","1871","1871","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q1","LOADED","134","134","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q2","LOADED","215","215","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1972Q1","LOADED","278","278","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1973Q2","LOADED","323","323","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q3","LOADED","368","368","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1976Q3","LOADED","440","440","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1978Q2","LOADED","503","503","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1980Q2","LOADED","575","575","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1982Q1","LOADED","638","638","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1983Q2","LOADED","683","683","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1985Q2","LOADED","755","755","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1987Q1","LOADED","818","818","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1988Q4","LOADED","881","881","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1990Q2","LOADED","935","935","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1992Q1","LOADED","998","998","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1997Q1","LOADED","1178","1178","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1997Q3","LOADED","1196","1196","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2000Q1","LOADED","1286","1286","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2001Q3","LOADED","1340","1340","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2002Q4","LOADED","1385","1385","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2004Q1","LOADED","1430","1430","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2005Q3","LOADED","1484","1484","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2007Q3","LOADED","1556","1556","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2010Q2","LOADED","1655","1655","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2013Q2","LOADED","1763","1763","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2015Q2","LOADED","1835","1835","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2017Q1","LOADED","1898","1898","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1967Q2","LOADED","269","269","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q3","LOADED","224","224","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1971Q4","LOADED","269","269","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1973Q4","LOADED","341","341","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1975Q2","LOADED","395","395","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1978Q1","LOADED","494","494","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1984Q1","LOADED","710","710","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1986Q2","LOADED","791","791","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1987Q2","LOADED","827","827","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1989Q3","LOADED","908","908","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1991Q1","LOADED","962","962","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1992Q3","LOADED","1016","1016","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1994Q2","LOADED","1079","1079","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1995Q4","LOADED","1133","1133","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1998Q2","LOADED","1223","1223","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1999Q3","LOADED","1268","1268","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2001Q4","LOADED","1349","1349","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2004Q3","LOADED","1448","1448","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2006Q2","LOADED","1511","1511","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2008Q1","LOADED","1574","1574","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2010Q3","LOADED","1664","1664","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2011Q3","LOADED","1700","1700","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2013Q1","LOADED","1754","1754","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2014Q4","LOADED","1817","1817","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2017Q3","LOADED","1916","1916","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q2","LOADED","143","143","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1972Q3","LOADED","296","296","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1975Q1","LOADED","386","386","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1976Q4","LOADED","449","449","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1978Q4","LOADED","521","521","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1981Q1","LOADED","602","602","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1982Q3","LOADED","656","656","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1984Q2","LOADED","719","719","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1986Q3","LOADED","800","800","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1987Q3","LOADED","836","836","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1989Q2","LOADED","899","899","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1991Q4","LOADED","989","989","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1993Q3","LOADED","1052","1052","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1995Q2","LOADED","1115","1115","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1996Q4","LOADED","1169","1169","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1997Q4","LOADED","1205","1205","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1999Q1","LOADED","1250","1250","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2000Q4","LOADED","1313","1313","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2002Q2","LOADED","1367","1367","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2004Q2","LOADED","1439","1439","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2006Q4","LOADED","1529","1529","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2008Q2","LOADED","1583","1583","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2010Q1","LOADED","1646","1646","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2012Q1","LOADED","1718","1718","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2013Q4","LOADED","1781","1781","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2015Q3","LOADED","1844","1844","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2017Q2","LOADED","1907","1907","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1967Q4","LOADED","125","125","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1969Q3","LOADED","188","188","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1971Q3","LOADED","260","260","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1977Q1","LOADED","458","458","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1979Q1","LOADED","530","530","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1980Q4","LOADED","593","593","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1982Q2","LOADED","647","647","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1983Q4","LOADED","701","701","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1989Q1","LOADED","890","890","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1991Q2","LOADED","971","971","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1993Q1","LOADED","1034","1034","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1994Q3","LOADED","1088","1088","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1996Q1","LOADED","1142","1142","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1998Q1","LOADED","1214","1214","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1999Q2","LOADED","1259","1259","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2001Q2","LOADED","1331","1331","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2003Q1","LOADED","1394","1394","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2005Q1","LOADED","1466","1466","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2006Q1","LOADED","1502","1502","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2007Q4","LOADED","1565","1565","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2009Q3","LOADED","1628","1628","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2011Q4","LOADED","1709","1709","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2014Q1","LOADED","1790","1790","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2015Q4","LOADED","1853","1853","1","0","","","",""
